UserID,Role,Round,totalRound,Total,move,roundResult,gameType
434857,second,3,3,100,None,"[75, 25]",dictator
434889,first,1,3,100,14,"[86, 14]",dictator
434889,first,2,3,100,27,"[73, 27]",dictator
434889,first,3,3,100,6,"[94, 6]",dictator
434918,first,1,3,100,2,"[98, 2]",dictator
434918,first,2,3,100,69,"[31, 69]",dictator
434918,first,3,3,100,0,"[100, 0]",dictator
435045,second,1,3,100,None,"[86, 14]",dictator
435045,second,2,3,100,None,"[73, 27]",dictator
435045,second,3,3,100,None,"[94, 6]",dictator
435067,first,1,3,100,50,"[50, 50]",dictator
435067,first,2,3,100,50,"[50, 50]",dictator
435067,first,3,3,100,82,"[18, 82]",dictator
435094,second,1,3,100,None,"[50, 50]",dictator
435094,second,2,3,100,None,"[50, 50]",dictator
435094,second,3,3,100,None,"[18, 82]",dictator
435109,first,1,3,100,0,"[100, 0]",dictator
435109,first,2,3,100,20,"[80, 20]",dictator
435109,first,3,3,0,1,"[0, 0]",dictator
441358,second,1,3,100,None,"[50, 50]",dictator
